aacgr 03AC
harrcir 2948
harrw 21AD
Hat 005E
hbar 210F
hcirc 0125
Hcirc 0124
hearts 2665
heartsuitUB hearts
hellip 2026
hercon 22B9
hfr 1D525
Hfr 210C
HilbertSpace 210B
hksearow 2925
hkswarow 2926
hoarr 21FF
homtht 223B
hookleftarrow 21A9
hookrightarrow 21AA
hopf 1D559
Hopf 210D
horbar 2015
HorizontalLine 2500
hscr 1D4BD
Hscr 210B
hslash 210F
hstrok 0127
Hstrok 0126
HumpDownHump 224E
HumpEqual 224F
hybull 2043
hyphen 2010
iacgr 03AF
Iacgr 038A
iacute 00ED
Iacute 00CD
ic 2063
icirc 00EE
Icirc 00CE
icy 0438
Icy 0418
idiagr 0390
idigr 03CA
Idigr 03AA
Idot 0130
iecy 0435
IEcy 0415
iexcl 00A1
iff 21D4
ifr 1D526
Ifr 2111
igr 03B9
Igr 0399
igrave 00EC
Igrave 00CC
ii 2148
iiiint 2A0C
iiint 222D
iinfin 29DC
iiota 2129
ijlig 0133
IJlig 0132
Im 2111
imacr 012B
Imacr 012A
image 2111
ImaginaryI 2148
imagline 2110
imagpart 2111
imath 0131
imof 22B7
imped 01B5
Implies 21D2
in 2208
incare 2105
infin 221E
infintie 29DD
inodot 0131
int 222B
Int 222C
intcal 22BA
integers 2124
Integral 222B
intercal 22BA
Intersection 22C2
intlarhk 2A17
intprod 2A3C
InvisibleComma 2063
InvisibleTimes 2062
iocy 0451
IOcy 0401
iogon 012F
Iogon 012E
iopf 1D55A
Iopf 1D540
iota 03B9
Iota 0399
iprod 2A3C
iquest 00BF
iscr 1D4BE
Iscr 2110
isin 2208
isindot 22F5
isinE 22F9
isins 22F4
isinsv 22F3
isinv 2208
it 2062
itilde 0129
Itilde 0128
iukcyUkrainian
IukcyUkrainian
iuml 00EF
Iuml 00CF
jcirc 0135
Jcirc 0134
jcy 0439
Jcy 0419
jfr 1D527
Jfr 1D50D
jmath 0237
jopf 1D55B
Jopf 1D541
jscr 1D4BF
Jscr 1D4A5
jsercy 0458
Jsercy 0408
jukcyUkrainian
JukcyUkrainian
kappa 03BA
Kappa 039A
kappav 03F0
kcedil 0137
Kcedil 0136
kcy 043A
Kcy 041A
kfr 1D528
Kfr 1D50E
kgr 03BA
Kgr 039A
kgreen 0138
khcy 0445
KHcy 0425
khgr 03C7
KHgr 03A7
kjcy 045C
KJcy 040C
kopf 1D55C
Kopf 1D542
kscr 1D4C0
Kscr 1D4A6
lAarr 21DA
lacute 013A
Lacute 0139
laemptyv 29B4
lagran 2112
lambda 03BB
Lambda 039B
lang 27E8
Lang 27EA
langd 2991
langle 27E8
lap 2A85
Laplacetrf 2112
laquo 00AB
larr 2190
lArr 21D0
Larr 219E
larrb 21E4
larrbfs 291F
larrfs 291D
larrhk 21A9
larrlp 21AB
larrpl 2939
larrsim 2973
larrtl 21A2
lat 2AAB
latail 2919
lAtail 291B
late 2AAD
lates 2AAD  FE00
lbarr 290C
lBarr 290E
lbbrk 2772
lbraceUM lcub
lbrackUM lsqb
lbrke 298B
lbrksld 298F
lbrkslu 298D
lcaron 013E
Lcaron 013D
lcedil 013C
Lcedil 013B
lceil 2308
lcub 007B
lcy 043B
Lcy 041B
ldca 2936
ldquo 201C
ldquor 201E
ldrdhar 2967
ldrushar 294B
ldsh 21B2
le 2264
lE 2266
LeftAngleBracket 27E8
leftarrowUM larr
Leftarrow 21D0
LeftArrowUM larr
LeftArrowBar 21E4
LeftArrowRightArrow 21C6
leftarrowtail 21A2
LeftCeiling 2308
LeftDoubleBracket 27E6
LeftDownTeeVector 2961
LeftDownVector 21C3
LeftDownVectorBar 2959
LeftFloor 230A
leftharpoondown 21BD
leftharpoonup 21BC
leftleftarrows 21C7
leftrightarrow 2194
Leftrightarrow 21D4
LeftRightArrow 2194
leftrightarrows 21C6
leftrightharpoons 21CB
leftrightsquigarrow 21AD
LeftRightVector 294E
LeftTee 22A3
LeftTeeArrow 21A4
LeftTeeVector 295A
leftthreetimes 22CB
LeftTriangle 22B2
LeftTriangleBar 29CF
LeftTriangleEqual 22B4
LeftUpDownVector 2951
LeftUpTeeVector 2960
LeftUpVector 21BF
LeftUpVectorBar 2958
LeftVector 21BC
LeftVectorBar 2952
leg 22DA
lEg 2A8B
leq 2264
leqq 2266
leqslant 2A7D
les 2A7D
lescc 2AA8
lesdot 2A7F
lesdoto 2A81
lesdotor 2A83
lesg 22DA  FE00
lesges 2A93
lessapprox 2A85
lessdot 22D6
lesseqgtr 22DA
lesseqqgtr 2A8B
LessEqualGreater 22DA
LessFullEqual 2266
LessGreater 2276
lessgtr 2276
LessLess 2AA1
lesssim 2272
LessSlantEqual 2A7D
LessTilde 2272
lfisht 297C
lfloor 230A
lfr 1D529
Lfr 1D50F
lg 2276
lgE 2A91
lgr 03BB
Lgr 039B
lHar 2962
lhard 21BD
lharu 21BC
lharul 296A
lhblk 2584
ljcy 0459
LJcy 0409
ll 226A
Ll 22D8
llarr 21C7
llcorner 231E
Lleftarrow 21DA
llhard 296B
lltri 25FA
lmidot 0140
Lmidot 013F
lmoust 23B0
lmoustache 23B0
lnap 2A89
lnapprox 2A89
lne 2A87
lnE 2268
lneq 2A87
lneqq 2268
lnsim 22E6
loang 27EC
loarr 21FD
lobrk 27E6
longleftarrow 27F5
Longleftarrow 27F8
LongLeftArrow 27F5
longleftrightarrow 27F7
Longleftrightarrow 27FA
LongLeftRightArrow 27F7
longmapsto 27FC
longrightarrow 27F6
Longrightarrow 27F9
LongRightArrow 27F6
looparrowleft 21AB
looparrowright 21AC
lopar 2985
lopf 1D55D
Lopf 1D543
loplus 2A2D
lotimes 2A34
lowast 2217
lowbar 005F
LowerLeftArrow 2199
LowerRightArrow 2198
loz 25CA
lozengeUB loz
lozf 29EB
lpar 0028
lparlt 2993
lrarr 21C6
lrcorner 231F
lrhar 21CB
lrhard 296D
lrm 200E
lrtri 22BF
lsaquo 2039
lscr 1D4C1
Lscr 2112
lsh 21B0
Lsh 21B0
lsim 2272
lsime 2A8D
lsimg 2A8F
lsqb 005B
lsquo 2018
lsquor 201A
lstrok 0142
Lstrok 0141
lt 003C
Lt 226A
LT 003C
ltcc 2AA6
ltcir 2A79
ltdot 22D6
lthree 22CB
ltimes 22C9
ltlarr 2976
ltquest 2A7B
ltri 25C3
ltrie 22B4
ltrif 25C2
ltrPar 2996
lurdshar 294A
luruhar 2966
lvertneqq 2268  FE00
lvnE 2268  FE00
macr 00AF
male 2642
malt 2720
malteseUB malt
map 21A6
Map 2905
mapsto 21A6
mapstodown 21A7
mapstoleft 21A4
mapstoup 21A5
marker 25AE
mcomma 2A29
mcy 043C
Mcy 041C
mdash 2014
mDDot 223A
measuredangle 2221
MediumSpace 205F
Mellintrf 2133
mfr 1D52A
Mfr 1D510
mgr 03BC
Mgr 039C
mho 2127
micro 00B5
mid 2223
midast 002A
midcir 2AF0
middot 00B7
minus 2212
minusb 229F
minusd 2238
minusdu 2A2A
MinusPlus 2213
mlcp 2ADB
mldr 2026
mnplus 2213
models 22A7
mopf 1D55E
Mopf 1D544
mp 2213
mscr 1D4C2
Mscr 2133
mstpos 223E
mu 03BC
Mu 039C
multimap 22B8
mumap 22B8
nabla 2207
nacute 0144
Nacute 0143
nang 2220  20D2
nap 2249
napE 2A70  0338
napid 224B  0338
napos 0149
napprox 2249
natur 266E
naturalUB natur
naturals 2115
nbsp 00A0
nbump 224E  0338
nbumpe 224F  0338
ncap 2A43
ncaron 0148
Ncaron 0147
ncedil 0146
Ncedil 0145
ncong 2247
ncongdot 2A6D  0338
ncup 2A42
ncy 043D
Ncy 041D
ndash 2013
ne 2260
nearhk 2924
nearr 2197
neArr 21D7
nearrow 2197
nedot 2250  0338
NegativeMediumSpace 200B
NegativeThickSpace 200B
NegativeThinSpace 200B
NegativeVeryThinSpace 200B
nequiv 2262
nesear 2928
nesim 2242  0338
NestedGreaterGreater 226B
NestedLessLess 226A
NewLine 000A
nexist 2204
nexists 2204
nfr 1D52B
Nfr 1D511
nge 2271
ngE 2267  0338
ngeq 2271
ngeqq 2267  0338
ngeqslant 2A7E  0338
nges 2A7E  0338
nGg 22D9  0338
ngr 03BD
Ngr 039D
ngsim 2275
ngt 226F
nGt 226B  20D2
ngtr 226F
nGtv 226B  0338
nharr 21AE
nhArr 21CE
nhpar 2AF2
ni 220B
nis 22FC
nisd 22FA
niv 220B
njcy 045A
NJcy 040A
nlarr 219A
nlArr 21CD
nldr 2025
nle 2270
nlE 2266  0338
nleftarrow 219A
nLeftarrow 21CD
nleftrightarrow 21AE
nLeftrightarrow 21CE
nleq 2270
nleqq 2266  0338
nleqslant 2A7D  0338
nles 2A7D  0338
nless 226E
nLl 22D8  0338
nlsim 2274
nlt 226E
nLt 226A  20D2
nltri 22EA
nltrie 22EC
nLtv 226A  0338
nmid 2224
NoBreak 2060
NonBreakingSpaceUM nbsp
nopf 1D55F
Nopf 2115
not 00AC
Not 2AEC
NotCongruent 2262
NotCupCap 226D
NotDoubleVerticalBar 2226
NotElement 2209
NotEqual 2260
NotEqualTilde 2242  0338
NotExists 2204
NotGreater 226F
NotGreaterEqual 2271
NotGreaterFullEqual 2267  0338
NotGreaterGreater 226B  0338
NotGreaterLess 2279
NotGreaterSlantEqual 2A7E  0338
NotGreaterTilde 2275
NotHumpDownHump 224E  0338
NotHumpEqual 224F  0338
notin 2209
notindot 22F5  0338
notinE 22F9  0338
notinva 2209
notinvb 22F7
notinvc 22F6
NotLeftTriangle 22EA
NotLeftTriangleBar 29CF  0338
NotLeftTriangleEqual 22EC
NotLess 226E
NotLessEqual 2270
NotLessGreater 2278
NotLessLess 226A  0338
NotLessSlantEqual 2A7D  0338
NotLessTilde 2274
NotNestedGreaterGreater 2AA2  0338
NotNestedLessLess 2AA1  0338
notni 220C
notniva 220C
notnivb 22FE
notnivc 22FD
NotPrecedes 2280
NotPrecedesEqual 2AAF  0338
NotPrecedesSlantEqual 22E0
NotReverseElement 220C
NotRightTriangle 22EB
NotRightTriangleBar 29D0  0338
NotRightTriangleEqual 22ED
NotSquareSubset 228F  0338
NotSquareSubsetEqual 22E2
NotSquareSuperset 2290  0338
NotSquareSupersetEqual 22E3
NotSubset 2282  20D2
NotSubsetEqual 2288
NotSucceeds 2281
NotSucceedsEqual 2AB0  0338
NotSucceedsSlantEqual 22E1
NotSucceedsTilde 227F  0338
NotSuperset 2283  20D2
NotSupersetEqual 2289
NotTilde 2241
NotTildeEqual 2244
NotTildeFullEqual 2247
NotTildeTilde 2249
NotVerticalBar 2224
npar 2226
nparallel 2226
nparsl 2AFD  20E5
npart 2202  0338
npolint 2A14
npr 2280
nprcue 22E0
npre 2AAF  0338
nprec 2280
npreceq 2AAF  0338
nrarr 219B
nrArr 21CF
nrarrc 2933  0338
nrarrw 219D  0338
nrightarrow 219B
nRightarrow 21CF
nrtri 22EB
nrtrie 22ED
nsc 2281
nsccue 22E1
nsce 2AB0  0338
nscr 1D4C3
Nscr 1D4A9
nshortmid 2224
nshortparallel 2226
nsim 2241
nsime 2244
nsimeq 2244
nsmid 2224
nspar 2226
nsqsube 22E2
nsqsupe 22E3
nsub 2284
nsube 2288
nsubE 2AC5  0338
nsubset 2282  20D2
nsubseteq 2288
nsubseteqq 2AC5  0338
nsucc 2281
nsucceq 2AB0  0338
nsup 2285
nsupe 2289
nsupE 2AC6  0338
nsupset 2283  20D2
nsupseteq 2289
nsupseteqq 2AC6  0338
ntgl 2279
ntilde 00F1
Ntilde 00D1
ntlg 2278
ntriangleleft 22EA
ntrianglelefteq 22EC
ntriangleright 22EB
ntrianglerighteq 22ED
nu 03BD
Nu 039D
num 0023
numero 2116
numsp 2007
nvap 224D  20D2
nvdash 22AC
nvDash 22AD
nVdash 22AE
nVDash 22AF
nvge 2265  20D2
nvgt 003E  20D2
nvHarr 2904
nvinfin 29DE
nvlArr 2902
nvle 2264  20D2
nvlt 003C  20D2
nvltrie 22B4  20D2
nvrArr 2903
nvrtrie 22B5  20D2
nvsim 223C  20D2
nwarhk 2923
nwarr 2196
nwArr 21D6
nwarrow 2196
nwnear 2927
oacgr 03CC
Oacgr 038C
oacute 00F3
Oacute 00D3
oast 229B
ocir 229A
ocirc 00F4
Ocirc 00D4
ocy 043E
Ocy 041E
odash 229D
odblac 0151
Odblac 0150
odiv 2A38
odot 2299
odsold 29BC
oelig 0153
OElig 0152
ofcir 29BF
ofr 1D52C
Ofr 1D512
ogon 02DB
ogr 03BF
Ogr 039F
ograve 00F2
Ograve 00D2
ogt 29C1
ohacgr 03CE
OHacgr 038F
ohbar 29B5
ohgr 03C9
OHgr 03A9
ohm 03A9
oint 222E
olarr 21BA
olcir 29BE
olcross 29BB
oline 203E
olt 29C0
omacr 014D
Omacr 014C
omega 03C9
Omega 03A9
omicron 03BF
Omicron 039F
omid 29B6
ominus 2296
oopf 1D560
Oopf 1D546
opar 29B7
OpenCurlyDoubleQuoteUM ldquo
OpenCurlyQuoteUM lsquo
operp 29B9
oplus 2295
or 2228
Or 2A54
orarr 21BB
ord 2A5D
order 2134
orderof 2134
ordf 00AA
ordm 00BA
origof 22B6
oror 2A56
orslope 2A57
orv 2A5B
oS 24C8
oscr 2134
Oscr 1D4AA
oslash 00F8
Oslash 00D8
osol 2298
otilde 00F5
Otilde 00D5
otimes 2297
Otimes 2A37
otimesas 2A36
ouml 00F6
Ouml 00D6
ovbar 233D
OverBar 203E
OverBrace 23DE
OverBracket 23B4
OverParenthesis 23DC
par 2225
para 00B6
parallel 2225
parsim 2AF3
parsl 2AFD
part 2202
PartialD 2202
pcy 043F
Pcy 041F
percnt 0025
period 002E
permil 2030
perp 22A5
pertenk 2031
pfr 1D52D
Pfr 1D513
pgr 03C0
Pgr 03A0
phgr 03C6
PHgr 03A6
phi 03C6
Phi 03A6
phiv 03D5
phmmat 2133
phone 260E
pi 03C0
Pi 03A0
pitchfork 22D4
piv 03D6
planck 210F
planckh 210E
plankv 210F
plus 002B
plusacir 2A23
plusb 229E
pluscir 2A22
plusdo 2214
plusdu 2A25
pluse 2A72
PlusMinusUM plusmn
plusmn 00B1
plussim 2A26
plustwo 2A27
pmUM plusmn
Poincareplane 210C
pointint 2A15
popf 1D561
Popf 2119
pound 00A3
pr 227A
Pr 2ABB
prap 2AB7
prcue 227C
pre 2AAF
prE 2AB3
prec 227A
precapprox 2AB7
preccurlyeq 227C
Precedes 227A
PrecedesEqual 2AAF
PrecedesSlantEqual 227C
PrecedesTilde 227E
preceq 2AAF
precnapprox 2AB9
precneqq 2AB5
precnsim 22E8
precsim 227E
prime 2032
Prime 2033
primes 2119
prnap 2AB9
prnE 2AB5
prnsim 22E8
prod 220F
Product 220F
profalar 232E
profline 2312
profsurf 2313
prop 221D
Proportion 2237
Proportional 221D
propto 221D
prsim 227E
prurel 22B0
pscr 1D4C5
Pscr 1D4AB
psgr 03C8
PSgr 03A8
psi 03C8
Psi 03A8
puncsp 2008
qfr 1D52E
Qfr 1D514
qint 2A0C
qopf 1D562
Qopf 211A
qprime 2057
qscr 1D4C6
